21 SKIKDA,35 553,"42,1",113,"0,1",6 997,"8,3",9 088,"10,8"
22 S.B.ABBES,178 170,"86,1",0,"0,0",2 734,"1,3",18 890,"9,1"
23 ANNABA,16 589,"52,8",0,"0,0",1986,"6,3",1 167,"3,7"
24 GUELMA,90 490,"76,3",0,"0,0",6 791,"5,7",10 050,"8,5"
25 CONSTANTINE,90 655,"79,5",0,"0,0",7 201,"6,3",11 002,"9,6"
26 MEDEA,124 234,"72,9",0,"0,0",2 576,"1,5",33 891,"19,9"
27 MOSTAGANEM,40 851,"43,4",0,"0,0",3 586,"3,8",21 369,"22,7"
28 M'SILA,52 785,"51,7",0,"0,0",,"0,0",40 600,"39,7"
29 MASCARA,102 584,"49,8",0,"0,0",5 678,"2,8",66 455,"32,2"
30 OUARGLA,2 883,"27,1",0,"0,0",0,"0,0",2527,"23,8"
31 ORAN,46 151,"70,5",0,"0,0",225,"0,3",14 038,"21,4"
32 EL-BAYADH,11 426,"0,0",12,"0,0",0,"0,0",7 091,"31,2"
33 ILLIZI,51,"0,0",0,"0,0",0,"0,0",226,"34,7"
34 B.B.ARRERIDJ,80 000,"93,0",0,"0,0",243,"0,3",3 935,"4,6"
35 BOUMERDES,4 072,"14,0",0,"0,0",531,"1,8",10 008,"34,4"
36 EL-TARF,23 860,"58,8",0,"0,0",2 572,"6,3",2 727,"6,7"
37 TINDOUF,0,"0,0",0,"0,0",0,"0,0",34,"19,6"
38 TISSEMSILT,81 000,"88,7",0,"0,0",3 029,"3,3",5 620,"6,2"
39 EL-OUED,10 840,"18,1",0,"0,0",0,"0,0",3 710,"6,2"
40 KHENCHELA,94 468,"74,0",0,"0,0",0,"0,0",28 303,"22,2"
41 SOUK-AHRAS,153 807,"87,6",0,"0,0",4 624,"2,6",12 729,"7,3"
42 TIPAZA,13 498,"34,6",0,"0,0",817,"2,1",7 605,"19,5"
43 MILA,114 856,"83,8",0,"0,0",5 575,"4,1",10 323,"7,5"
44 AIN-DEFLA,77 625,"58,1",30,"0,0",4 307,"3,2",23 198,"17,4"
45 NAAMA,4 795,"50,8",0,"0,0",0,"0,0",3514,"37,2"
46 A.TEMOUCHENT,109 942,"77,4",0,"0,0",10 638,"7,5",11 808,"8,3"
47 GHARDAIA,6 914,"38,7",0,"0,0",0,"0,0",5 800,"32,5"
48 RELIZANE,147 499,"75,7",34,"0,0",7 417,"U3
3,8",18 109,"9,3"
TOTAL ALGERIE,3 425 728,"72,6","380
1 680","0,0",120 171,"2,5",686 261,"14,5"
ENSEMBLE DES Wilaya,CULTURES Cultures,HERBACEES industrielles,"2/2
Cultures",maraîchères,Autres cultures,,TOTAL CULTURES,HERBACEES
,ha,%,ha,%,ha,"%
20",ha,%
1 ADRAR,1 878,"6,0",5 170,"16,5",171,"0,5",31 254,"0,7"
2 CHLEF,1 210,"0,9",9215,"6,8",0,"0,0",134 841,"2,9"
3 LAGHOUAT,30,"0,1",0,"0,0",0,"0,0",44 017,"0,9"
4 O.E.BOUAGHI,894,"0,4",2 700,"1,2",0,"0,0",234 118,"5,0"
5 BATNA,,"0,1",7 440,"3,9",0,"0,0",190 550,"4,0"
6 BEJAIA,77,"0,5
59",3 264,"22,6","221
22","1,5",14 464,"0,3"
7 BISKRA,"1362728828
574","0,9",23 782,"38,7",148,"0,2",61 484,"1,3"
8 BECHAR,100,"1,6
O",2 690,"44,6",0,"0,0",6 036,"0,1"
9 BLIDA,66,"'
0,4",6 370,"40,8",0,"0,0",15 618,"0,3"
10 BOUIRA,25,"0,0",7 462,"8,6",0,"0,0",86 288,"1,8"
11 TAMANRASSET,,"1,1",1 895,"57,1",0,"0,0",3 322,"0,1"
12 TEBESSA,0,"0,0",4 757,"2,4",0,"0,0",197 698,"4,2"
13 TLEMCEN,0,"0,0",23 146,"9,7",0,"0,0",238 426,"5,1"
14 TIARET,0,"0,0",0,"0,0",0,"0,0",405 690,"8,6"
15 TIZI-OUZOU,0,"0,0
00000",5 890,"22,4",0,"0,0",26 281,"0,6"
16 ALGER,0,"0,0",8 134,"69,5",29,"0,3",11 704,"0,2"
17 DJELFA,36,"0,0",9 678,"8,4",0,"0,0",115 274,"2,4"
18 JIJEL,91,"0,9",6 777,"70,6",0,"0,0",9 596,"0,2"
19 SETIF,1 100,"0,5",7 853,"3,4",0,"0,0",230 925,"4,9"
20 SAIDA,8580282,"0,0
20",8 355,"5,5",0,"0,0",150 607,"3,2"
21 SKIKDA,"8580282
9 883","11,7",22 761,"27,0",0,"0,0",84 394,"1,8"
22 S.B.ABBES,,"0,0",7 184,"3,5",0,"0,0",206 998,"4,4"
23 ANNABA,2 200,"20
7,0",9 500,"30,2",0,"0,0",31 442,"0,7"
24 GUELMA,3 922,"3,3",7 350,"6,2",0,0.0,118 603,"2,5"
25 CONSTANTINE,0,"0,0",5 160,"4,5",0,"0,0",114 017,"2,4"
26 MEDEA,0,"0,0",9 661,"5,7",0,"0,0",170 361,"3,6"
